Airline,Source,Destination,Date,Weekday,Is_Weekend,Predicted_Price,SARIMAX_Trend,Predicted_Price_USD
IndiGo,Banglore,Delhi,2019-07-01,Mon,0,4584,9090,65.1
IndiGo,Banglore,Delhi,2019-07-02,Tue,0,4582,9090,65.07
IndiGo,Banglore,Delhi,2019-07-03,Wed,0,4579,9090,65.02
IndiGo,Banglore,Delhi,2019-07-04,Thu,0,4601,9090,65.34
IndiGo,Banglore,Delhi,2019-07-05,Fri,0,4588,9092,65.15
IndiGo,Banglore,Delhi,2019-07-06,Sat,1,4606,9092,65.41
IndiGo,Banglore,Delhi,2019-07-07,Sun,1,4702,9092,66.77
IndiGo,Banglore,Delhi,2019-07-08,Mon,0,4597,9092,65.28
IndiGo,Banglore,Delhi,2019-07-09,Tue,0,4596,9092,65.27
IndiGo,Banglore,Delhi,2019-07-10,Wed,0,4599,9092,65.31
IndiGo,Banglore,Delhi,2019-07-11,Thu,0,4611,9092,65.48
IndiGo,Banglore,Delhi,2019-07-12,Fri,0,4638,9092,65.86
IndiGo,Banglore,Delhi,2019-07-13,Sat,1,4627,9092,65.71
IndiGo,Banglore,Delhi,2019-07-14,Sun,1,4678,9092,66.43
IndiGo,Banglore,Delhi,2019-07-15,Mon,0,4600,9092,65.32
IndiGo,Banglore,Delhi,2019-07-16,Tue,0,4597,9092,65.28
IndiGo,Banglore,Delhi,2019-07-17,Wed,0,4600,9092,65.32
IndiGo,Banglore,Delhi,2019-07-18,Thu,0,4637,9092,65.85
IndiGo,Banglore,Delhi,2019-07-19,Fri,0,4639,9092,65.88
IndiGo,Banglore,Delhi,2019-07-20,Sat,1,4635,9092,65.82
IndiGo,Banglore,Delhi,2019-07-21,Sun,1,4695,9092,66.67
IndiGo,Banglore,Delhi,2019-07-22,Mon,0,4600,9092,65.32
IndiGo,Banglore,Delhi,2019-07-23,Tue,0,4600,9092,65.32
IndiGo,Banglore,Delhi,2019-07-24,Wed,0,4600,9092,65.32
IndiGo,Banglore,Delhi,2019-07-25,Thu,0,4602,9092,65.35
IndiGo,Banglore,Delhi,2019-07-26,Fri,0,4589,9092,65.17
IndiGo,Banglore,Delhi,2019-07-27,Sat,1,4621,9092,65.62
IndiGo,Banglore,Delhi,2019-07-28,Sun,1,4714,9092,66.94
IndiGo,Banglore,Delhi,2019-07-29,Mon,0,4574,9092,64.95
IndiGo,Banglore,Delhi,2019-07-30,Tue,0,4567,9092,64.85
IndiGo,Banglore,Delhi,2019-07-31,Wed,0,4576,9092,64.98
