feature,importance,cumulative_pct
Total_Stops,0.23379819032782378,23.38
Airline_Tier,0.1452618857167626,37.91
Journey_Day,0.10813198148449855,48.72
Airline_Jet Airways,0.09287642024658224,58.01
Duration_Hours,0.08482853828105043,66.49
Dep_Min,0.027190306829821223,69.21
Weekday_Cos,0.02625654031833126,71.83
Month_Cos,0.02493568649725346,74.33
Journey_Month,0.019267141679061028,76.25
Dep_Hour_Cos,0.016427234664751725,77.9
Arrival_Min,0.016048346780278472,79.5
Arrival_Hours,0.015668068860778435,81.07
Dep_Hours,0.015250679953769906,82.59
Journey_Weekdays,0.013319362176696735,83.93
Arr_Hour_Cos,0.013190479812940383,85.25
Dep_Hour_Sin,0.012481028355860669,86.49
Month_Sin,0.01099190861103265,87.59
Weekday_Sin,0.010892507278017596,88.68
Source_Banglore,0.010817618819672614,89.76
Arr_Hour_Sin,0.010109006958444511,90.77
Dep_Period,0.009815571527964487,91.76
Arr_Period,0.009295267092192517,92.69
Airline_Multiple carriers,0.008288661837196142,93.51
Route_Banglore_to_Delhi,0.007414466843200792,94.26
Is_Weekend,0.006839048329412155,94.94
Destination_Delhi,0.006782763268622892,95.62
Destination_Hyderabad,0.005898272029369041,96.21
Route_Mumbai_to_Hyderabad,0.0049015364981293144,96.7
Source_Mumbai,0.004744217019835708,97.17
Airline_IndiGo,0.00404687019173545,97.58
Airline_Air India,0.0035652605766307377,97.93
Route_Delhi_to_Cochin,0.003178590142418519,98.25
Source_Delhi,0.0030035799819842666,98.55
Destination_Cochin,0.002475532723593241,98.8
Destination_Banglore,0.002251677029805396,99.02
Route_Kolkata_to_Banglore,0.002121900590481206,99.24
Source_Kolkata,0.0020473695398765955,99.44
Airline_SpiceJet,0.001252606967877679,99.57
Airline_Vistara,0.0009299133910158721,99.66
Airline_GoAir,0.0007670178245828957,99.74
Destination_Kolkata,0.0007303013992754008,99.81
Source_Chennai,0.0007084405251475309,99.88
Route_Chennai_to_Kolkata,0.0006331283690756897,99.94
Airline_Air Asia,0.0004891710843782738,99.99
Airline_Trujet,7.590156277007496e-05,100.0
